ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,23366.3461134432,32711.52110933343,64446.68378331094,23366.3461134432,23366.3461134432,25945.697892237138,25945.697892237138,25945.697892237138,8263.26856421497,8263.26856421497,8263.26856421497,17682.42932802216,17682.42932802216,17682.42932802216,0.0,0.0,0.0,49312.044005680335
2009-12-02,23362.918624578782,31164.162349661874,62448.39559790838,23362.918624578782,23362.918624578782,22892.261037644686,22892.261037644686,22892.261037644686,5364.460058906355,5364.460058906355,5364.460058906355,17527.800978738334,17527.800978738334,17527.800978738334,0.0,0.0,0.0,46255.17966222347
2009-12-03,23359.491135714357,38716.961347572236,68709.79825517189,23359.491135714357,23359.491135714357,29838.081809735522,29838.081809735522,29838.081809735522,12589.557408846356,12589.557408846356,12589.557408846356,17248.52440088917,17248.52440088917,17248.52440088917,0.0,0.0,0.0,53197.57294544988
2009-12-04,23356.063646849936,28944.6597596493,57794.962526344134,23356.063646849936,23356.063646849936,20397.31556837361,20397.31556837361,20397.31556837361,3563.2497467984663,3563.2497467984663,3563.2497467984663,16834.065821575146,16834.065821575146,16834.065821575146,0.0,0.0,0.0,43753.37921522355
2009-12-05,23352.636157985515,-5606.7683699762265,24206.962896470024,23352.636157985515,23352.636157985515,-13190.713874113739,-13190.713874113739,-13190.713874113739,-29467.13737935143,-29467.13737935143,-29467.13737935143,16276.423505237686,16276.423505237686,16276.423505237686,0.0,0.0,0.0,10161.922283871776
2009-12-06,23349.208669121093,17875.131846781074,47272.85633081402,23349.208669121093,23349.208669121093,9619.741176575866,9619.741176575866,9619.741176575866,-5950.734482107087,-5950.734482107087,-5950.734482107087,15570.475658682955,15570.475658682955,15570.475658682955,0.0,0.0,0.0,32968.94984569696
2009-12-07,23345.78118025667,28861.022065869733,58658.06004984748,23345.78118025667,23345.78118025667,20351.594680924743,20351.594680924743,20351.594680924743,5637.336082798418,5637.336082798418,5637.336082798418,14714.258598126322,14714.258598126322,14714.258598126322,0.0,0.0,0.0,43697.37586118141
2009-12-08,23342.35369139225,29545.237797778518,60215.496557841194,23342.35369139225,23342.35369139225,21972.434170864177,21972.434170864177,21972.434170864177,8263.268564236401,8263.268564236401,8263.268564236401,13709.165606627776,13709.165606627776,13709.165606627776,0.0,0.0,0.0,45314.78786225643
2009-12-09,23338.92620252783,25361.61685907269,56771.49424400158,23338.92620252783,23338.92620252783,17924.519097441163,17924.519097441163,17924.519097441163,5364.460058922752,5364.460058922752,5364.460058922752,12560.059038518411,12560.059038518411,12560.059038518411,0.0,0.0,0.0,41263.445299969
2009-12-10,23335.498713663408,32546.24020449109,62734.012414859775,23335.498713663408,23335.498713663408,23864.848004166237,23864.848004166237,23864.848004166237,12589.557408800532,12589.557408800532,12589.557408800532,11275.290595365703,11275.290595365703,11275.290595365703,0.0,0.0,0.0,47200.34671782964
